Date,NewCases
3/1/20,6
3/2/20,23
3/3/20,25
3/4/20,20
3/5/20,66
3/6/20,47
3/7/20,64
3/8/20,147
3/9/20,225
3/10/20,290
3/11/20,278
3/12/20,414
3/13/20,267
3/14/20,338
3/15/20,"1,237"
3/16/20,755
3/17/20,"2,797"
3/18/20,"3,419"
3/19/20,"4,777"
3/20/20,"3,528"
3/21/20,"5,836"
3/22/20,"8,821"
3/23/20,"10,934"
3/24/20,"10,115"
3/25/20,"13,987"
3/26/20,"16,916"
3/27/20,"17,965"
3/28/20,"19,332"
3/29/20,"18,251"
3/30/20,"22,635"
3/31/20,"22,562"
4/1/20,"27,043"
4/2/20,"26,135"
4/3/20,"34,864"
4/4/20,"30,683"
4/5/20,"26,065"
4/6/20,"43,438"
4/7/20,"21,597"
4/8/20,"31,534"
4/9/20,"31,705"
4/10/20,"33,251"
4/11/20,"33,288"
4/12/20,"29,145"
4/13/20,"24,156"
4/14/20,"26,385"
4/15/20,"27,158"
4/16/20,"29,164"
4/17/20,"29,002"
4/18/20,"29,916"
4/19/20,"25,995"
4/20/20,"29,468"
4/21/20,"26,490"
4/22/20,"25,858"
4/23/20,"37,144"
4/24/20,"29,873"
4/25/20,"33,161"
4/26/20,"29,256"
4/27/20,"23,371"
4/28/20,"23,901"
4/29/20,"25,512"
4/30/20,"31,787"
5/1/20,"30,369"
5/2/20,"29,794"
5/3/20,"29,763"
5/4/20,"19,138"
5/5/20,"22,303"
5/6/20,"23,366"
5/7/20,"30,861"
5/8/20,"25,996"
5/9/20,"26,660"
5/10/20,"23,792"
5/11/20,"18,106"
5/12/20,"21,467"
5/13/20,"20,869"
5/14/20,"27,191"
5/15/20,"22,977"
5/16/20,"31,967"
5/17/20,"13,284"
5/18/20,"24,481"
5/19/20,"23,405"
5/20/20,"22,860"
5/21/20,"20,522"
5/22/20,"24,268"
5/23/20,"26,229"
5/24/20,"15,342"
5/25/20,"24,958"
5/26/20,"16,429"
5/27/20,"19,680"
5/28/20,"21,304"
5/29/20,"18,123"
5/30/20,"23,553"
5/31/20,"26,177"
6/1/20,"14,790"
6/2/20,"24,955"
6/3/20,"14,676"
6/4/20,"20,555"
6/5/20,"29,034"
6/6/20,"29,214"
6/7/20,"17,919"
6/8/20,"17,598"
6/9/20,"17,376"
6/10/20,"20,486"
6/11/20,"21,744"
6/12/20,"22,317"
6/13/20,"25,468"
6/14/20,"21,957"
6/15/20,"18,577"
